処理名,1弦(12フレット),2弦(12フレット),3弦(12フレット),4弦(12フレット),5弦(12フレット),6弦(12フレット)
Volume,-22.273236925816427|-17.36979324643993,-24.782569750337807|-24.410328745719827,,-24.4759773215619|-21.978771817427262,-20.998194778939663|-21.110354693430935,-18.35088643785204|-19.49059577918711
Attack Time,0.0035374149659863946|0.008049886621315193,0.00816326530612245|0.031201814058956917,,0.0026984126984126986|0.012585034013605442,0.03183673469387755|0.043038548752834464,0.0590702947845805|0.028707482993197277
Sustain,20.81659825927077|56.18690666849608,14.188059767890849|28.79563261812199,,3.50644143146404|25.959534274993036,11.345134421253093|15.444794737769563,7.287399535868229|11.306830021902883
Overtones,328.71:4.27e+11_658.39:1.69e+11_986.64:1.66e+11|657.47:2.68e+11_1315.79:1.45e+11_1974.10:3.97e+10_2632.96:8.60e+10,247.43:1.97e+11_495.88:9.56e+10_742.18:2.67e+11_989.97:1.13e+11_1486.02:3.49e+10|492.84:1.55e+11_987.78:2.58e+11_1482.45:5.39e+10_1977.85:2.63e+10,,147.02:3.99e+11_293.62:6.13e+11_441.93:1.59e+11_588.26:1.34e+11|292.51:6.17e+11_586.30:9.99e+10,110.43:4.73e+11_220.86:3.14e+11_330.92:4.84e+11_442.51:2.45e+11_665.00:6.88e+10_776.43:5.29e+10|218.83:5.98e+11_439.55:2.13e+11,82.53:2.12e+12_165.95:1.59e+12_248.62:7.66e+11_332.39:2.97e+11|164.87:1.92e+12
Except_Overtone,21.65421358948788|37.95787696715034,41.35088077602147|39.495944107882,,41.48826778335207|38.39997995807944,10.737015094621071|14.954463365592463,45.23163890448781|56.03559074445555
