処理名,1弦(12フレット),2弦(12フレット),3弦(12フレット),4弦(12フレット),5弦(12フレット),6弦(12フレット)
Volume,-28.741030681999806|-24.42903452127036,-22.082965356252068|-23.216299091655568,-19.054529740921733|-21.413784664753095,-23.602032063045343|-28.95384139953048,-20.081153025237665|-19.871799077153966,-17.436511474950827|-14.588019009780895
Attack Time,0.000997732426303855|0.005192743764172335,0.008798185941043084|0.0003401360544217687,0.3580498866213152|0.0009070294784580499,0.008571428571428572|0.011201814058956917,0.04233560090702948|0.04070294784580499,0.028888888888888888|0.015532879818594105
Sustain,15.89149448198322|38.47214945472119,22.682357210443875|34.99340625843966,22.792129541111297|33.169037265260464,12.507517726988816|7.486823666327393,15.106792076372674|25.777960741790913,17.973977165350995|28.170831695978414
Overtones,328.63:1.33e+11_658.08:6.09e+10_986.38:7.39e+10_1315.99:4.96e+10_1645.68:2.95e+10_1974.93:4.21e+10_2306.17:5.00e+10_2637.25:3.31e+10_2967.65:1.36e+10_3296.71:1.64e+10_3628.49:2.40e+10_3959.87:2.08e+10_4291.57:1.78e+10|656.83:1.09e+11_1314.50:2.09e+11_1972.36:9.68e+10_2630.63:1.02e+11_3289.01:9.51e+10_3948.76:3.40e+10_4608.34:5.99e+10,248.35:4.47e+10_495.77:3.66e+10_741.96:1.88e+11_991.91:1.20e+11_1237.30:1.20e+11_1488.45:7.06e+10_1737.93:5.00e+10_2239.27:3.13e+10_2738.28:2.19e+10|492.55:1.16e+11_987.13:2.18e+11_1482.37:9.82e+10_1979.36:6.50e+10_2473.50:4.71e+10_3473.12:2.94e+10_4980.68:4.47e+10_5486.21:2.85e+10,195.97:1.16e+11_391.54:2.01e+11_494.15:3.35e+10_586.11:8.08e+10_781.87:1.07e+11_801.92:2.36e+10_981.48:5.11e+10_1180.25:5.51e+10_1373.50:2.09e+10_1391.51:4.18e+10_1591.23:3.60e+10_1783.21:2.51e+10_1984.63:2.31e+10_2182.84:2.51e+10_2379.22:2.03e+10_2588.62:2.18e+10_4687.88:2.35e+10|388.57:4.99e+10_779.28:2.78e+11_1176.08:3.62e+10_1571.40:7.75e+10_1964.78:3.10e+10_2369.37:3.42e+10,146.96:1.76e+11_293.89:2.32e+11_441.66:1.10e+11_588.13:2.61e+11_737.53:9.51e+10_884.35:1.07e+11_1032.50:6.82e+10_1180.35:4.13e+10_1329.21:4.47e+10_1478.53:5.95e+10_1627.76:3.93e+10|292.20:4.04e+11_585.64:1.13e+11_880.64:1.41e+11,109.98:2.73e+11_220.72:3.12e+11_331.05:4.21e+11_442.14:3.72e+11_553.93:2.16e+11_664.29:1.64e+11_774.95:9.90e+10_886.47:8.73e+10_998.16:9.15e+10_1110.14:7.29e+10|218.44:3.25e+11_438.55:3.04e+11_659.24:1.39e+11_880.26:1.37e+11_1101.90:8.44e+10_1324.89:5.05e+10,82.47:7.62e+11_165.81:5.25e+11_220.11:1.02e+11_248.41:3.98e+11_332.07:2.54e+11_418.00:1.86e+11_502.15:1.85e+11_584.70:9.37e+10|164.21:8.42e+11_332.29:1.51e+11_502.49:1.50e+11_670.43:9.24e+10
Except_Overtone,36.13933663197662|43.65953112728085,39.633532026326634|34.363650118041384,42.59595972477895|48.1828794498364,39.8711135264869|36.242106597115864,13.088077358787341|20.407913166501714,44.43896238937873|54.31941544031667
